"slide","title"
1,"Seksjon: Data completeness og issues"
2,"Datakompletthet for standardiserte pasientmetadata-kolonner"
3,"Data issues (QC-avvik) for pasientmetadata og dekning"
4,"Ct-verdier per måned - H1"
5,"Ct-verdier per måned - H3"
6,"Ct-verdier per måned - BVIC"
7,"Seksjon: Prøvetabeller"
8,"Prøvekategori etter pasientstatus"
9,"Prøvekategori per måned etter pasientstatus"
10,"Prøvekategori per måned etter pasientstatus"
11,"Prøvekategori per måned etter pasientstatus (heatmap)"
12,"Seksjon: Influensafrekvens"
13,"Frekvenstabell for WHO/ECDC-kategorier, klader og subklader"
14,"Seksjon: Klade- og subkladeplott"
15,"A/H1N1 fordeling av subklade per måned:"
16,"A/H3N2 fordeling av subklade per måned:"
17,"B/Victoria fordeling av subklade per måned:"
18,"A/H1N1 Subklade fordeling per måned:"
19,"A/H3N2 Subklade fordeling per måned:"
20,"B/Victoria Subklade fordeling per måned:"
21,"Seksjon: Antiviral resistens"
22,"Tabell 1. Oppsummering av antiviral resistens"
23,"Tabell 2. Oseltamivir-resistens med NA-mutasjon"
24,"Tabell 3. Peramivir-resistens med NA-mutasjon"
25,"Tabell 4. Zanamivir-resistens med NA-mutasjon"
26,"Tabell 5. Laninamivir-resistens med NA-mutasjon"
27,"Tabell 6. Baloxavir-resistens"
28,"Tabell 7. Adamantan-resistens med M2-mutasjon"
29,"Seksjon: HA-mutasjoner"
30,"Subklader i datasettet og cluster-definerende HA-mutasjoner"
31,"Oppsummering av HA-mutasjoner og epitopmutasjoner"
32,"HA-mutasjonstrender - A/H1N1 - D.3.1"
33,"HA-mutasjonstrender varmekart - A/H1N1 - D.3.1"
34,"HA-mutasjonstrender linjer - A/H1N1 - D.3.1"
35,"HA-mutasjonstrender - A/H1N1 - D.3.1.1"
36,"HA-mutasjonstrender varmekart - A/H1N1 - D.3.1.1"
37,"HA-mutasjonstrender linjer - A/H1N1 - D.3.1.1"
38,"HA-mutasjonstrender - A/H3N2 - J.2"
39,"HA-mutasjonstrender varmekart - A/H3N2 - J.2"
40,"HA-mutasjonstrender linjer - A/H3N2 - J.2"
41,"HA-mutasjonstrender - A/H3N2 - J.2.2"
42,"HA-mutasjonstrender varmekart - A/H3N2 - J.2.2"
43,"HA-mutasjonstrender linjer - A/H3N2 - J.2.2"
44,"HA-mutasjonstrender - A/H3N2 - J.2.3"
45,"HA-mutasjonstrender varmekart - A/H3N2 - J.2.3"
