"slide","title"
1,"SARS-CoV-2 Week 20"
2,"Data Quality Checks"
3,"Coverage by Tessy"
4,"SC2 data quality summary"
5,"SC2 SC2db_v: highest missingness columns"
6,"SC2 numeric outlier scan (IQR)"
7,"Run Quality Issues"
8,"NGS run setup: included vs failed (% + count)"
9,"Coverage QC by NGS run (summary table)"
10,"Coverage by run setup (boxplot + sample points)"
11,"Coverage by month and subclade"
12,"Coverage"
15,"Pangolin And Tessy Per Month"
16,"Pangolin Classification per Month"
31,"Tessy Classification per Month"
32,"Tessy Reporting Overview"
47,"Mutation Analysis"
48,"Spike Mutation of Interest"
50,"Heatmap of Mutation Combinations Per Month (Last 6 Months)"
61,"Spike Mutation Frequency"
62,"Spike Mutations - BA.3.2"
63,"Spike Mutations - BA.2.86"
64,"Spike Mutations - NB.1.8.1"
65,"Spike Mutations - XFG"
66,"Mutation Composition - Slide 1"
67,"Mutation Composition - Slide 2"
68,"Mutation Composition - Slide 3"
69,"Mutation Composition - Slide 4"
70,"Mutation Composition - Slide 5"
71,"Mutation Composition - Slide 6"
72,"Mutation Composition - Slide 7"
73,"Mutation Composition - Slide 8"
74,"Mutation Composition - Slide 9"
75,"Mutation Composition - Slide 10"
76,"Mutation Composition - Slide 11"
77,"Mutation Composition - Slide 12"
78,"Mutation Composition - Slide 13"
79,"Mutation Composition - Slide 14"
80,"Mutation Composition - Slide 15"
81,"Mutation Composition - Slide 16"
82,"Mutation Composition - Slide 17"
83,"Mutation Composition - Slide 18"
84,"Mutation Composition - Slide 19"
85,"Mutation Composition - Slide 20"
86,"Mutation Composition - Slide 21"
87,"Mutation Composition - Slide 22"
88,"Mutation Composition - Slide 23"
89,"Spike Mutation Domain Lollipop - Tessy XFG"
90,"Spike Mutation Domain Lollipop - Tessy NB.1.8.1"
91,"Spike Mutation Domain Lollipop - Tessy BA.3.2"
92,"Spike Mutation Domain Lollipop - Tessy Andre SARS CoV 2"
93,"Spike Mutation Domain Lollipop - Tessy BA.2.86"
94,"Frameshift/Insertion/Deletion"
95,"SC2 indel/frameshift trends by type and Tessy"
96,"Drug Resistance"
97,"Table 1: 3CLpro (Paxlovid/Nirmatrelvir ) resistance mutations"
98,"Table 2: RdRP (Remdesivir) resistance mutations"
99,"Table 3: Spike (Antibody) resistance mutations"
100,"CT Values Quality"
101,"PCR SC2 EXT CT by Tessy category (last 6 months)"
102,"Population Under Surveillance"
103,"Map: Fylke fordeling - left current, right previous"
104,"Map: Landsdel fordeling - left current, right previous"
105,"Kjønn: sesongsammenligning"
106,"Aldersgruppe: sesongsammenligning"
107,"Tessy by Fylke (%) - current season/last 6 months"
108,"Tessy by Fylke (count) - current season/last 6 months"
109,"Tessy by Landsdel (%) - current season/last 6 months"
110,"Tessy by Landsdel (count) - current season/last 6 months"
111,"Tessy by Age group (%) - current season/last 6 months"
112,"Tessy by Age group (count) - current season/last 6 months"
113,"Tessy by Patient status (%) - current season/last 6 months"
114,"Tessy by Patient status (count) - current season/last 6 months"
115,"Tessy by Sample category group (%) - current season/last 6 months"
116,"Tessy by Sample category group (count) - current season/last 6 months"
117,"Tessy by Vaccination status (%) - current season/last 6 months"
118,"Tessy by Vaccination status (count) - current season/last 6 months"
119,"Tessy by Vaccinated <=2 weeks before symptom onset (%) - current season/last 6 months"
120,"Tessy by Vaccinated <=2 weeks before symptom onset (count) - current season/last 6 months"
